fnid,chess_x,chess_y,LU_Business,LU_Green,LU_Industry,LU_Public,LU_Residence,subway,density,intersections,road_density,rent
413,56,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.244777777666667
665,308,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26
666,309,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.260000000000001
667,310,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.260000000000001
668,311,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26
770,56,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.216796627
771,57,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.260025793666666
1021,307,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.260000000000001
1022,308,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26
1023,309,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.260000000000001
1024,310,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.260000000000001
1025,311,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26
1026,312,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26
1027,313,2,0.0,0.08288405379290886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.260000000000001
1028,314,2,0.0,0.1243260806893633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26
1126,55,3,0.0,0.0,0.017228492192632942,0.0,0.0,0.0,0.0,0.0,0.0,6.131680061
1127,56,3,0.0,0.0,0.009872934395496153,0.0,0.0,0.0,0.0,0.0,0.046984127,6.207624056714286
1128,57,3,0.0,0.0,0.008638817596059134,0.0,0.0,0.0,0.0,0.0,0.093968254,6.26257953175
1129,58,3,0.0,0.0,3.931439958825975e-05,0.0,0.0,0.0,0.0,0.0,0.1503492064,6.3310582019999995
1377,306,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26
1378,307,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26
1379,308,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.260000000000001
1380,309,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.260000000000001
1381,310,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.260000000000001
1382,311,3,0.0,0.0,0.0,0.0002623017030187741,0.0,0.0,0.0,0.0,0.0,7.260000000000001
1383,312,3,0.0,0.00012102334608159047,0.0,0.014182840535840152,0.0,0.0,0.0,0.0,0.0,7.260000000000001
1384,313,3,0.0,0.16020684248133146,0.0,0.0177222485407489,0.0,0.0,0.0,0.0,0.0,7.260000000000001
1385,314,3,0.0,0.24031026372199718,0.0,0.026189920256595185,0.0,0.0,0.0,0.0,0.0,7.260000000000001
1484,56,4,0.0,0.0,0.028272421303402042,0.0,0.0,0.0,0.0,0.6349206350000001,1.1092063492857143,6.201512950571429
1485,57,4,0.0,0.0,0.021989661013757142,0.0,0.0,0.0,0.0,0.7477954145555555,1.4138271605555555,6.271750151999999
1486,58,4,0.0,0.0,2.8081713991614107e-05,0.0,0.0,0.0,0.0,0.5804988662857143,1.6074920635714285,6.350879443285714
